id,Sector,Last page,Have you smoked at least one full tobacco cigarette (excluding e-cigarettes) once or more in the past 30 days?,"I see myself as someone who is extraverted, enthusiastic:","I see myself as someone who is critical, quarrelsome:","I see myself as someone who is dependable, self-disciplined:","I see myself as someone who is anxious, easily upset:",I see myself as someone who is open to new experiences:,"I see myself as someone who is reserved, quiet:","I see myself as someone who is sympathetic, warm:","I see myself as someone who is disorganized, careless:","I see myself as someone who is calm, emotionally stable:","I see myself as someone who is conventional, uncreative:","Do you find it difficult to refrain from smoking where it is forbidden (church, library, cinema, plane, etc...)?",How many cigarettes do you smoke each day?,Do you smoke more frequently during the first hours after waking up than during the rest of the day? ,Do you smoke if you are so ill that you are in bed most of the day?,How soon after you wake up do you smoke your first cigarette?,Which cigarette would you mostly hate to give up?,How old were you the first time you smoked a full cigarette (not just a few puffs)?,How would you describe your current smoking behavior compared to your smoking behavior before Lebanon's economic crisis and revolution began in 2019?,What is your favorite or preferred cigarette brand(s) if you were able to access it?,What cigarette brand(s) are you currently using?,Are you currently able to afford your favorite or preferred cigarette brand(s)?,Has 2019's revolution or economic crisis caused you to switch away from your favorite or preferred cigarette brand(s) to an  alternative?,Gender:,How old are you?,Which governerate do you live in or spend most of your time in?,What is the highest level of education you have attained?,What is your current employment status?,What is your current employment status? [Comment],What is your current marital status?,What is your current marital status? [Comment],Do you have close friends?,"Of the five closest friends or acquaintances that you spend time with on a regular basis, how many of them are smokers?",What is your main source of income?,What is your main source of income? [Comment],What type of income or financial support does your household receive?,What type of income or financial support does your household receive? [Comment],"If you receive payment in Lebanese Lira, what is your current estimated monthly household income? (If income is in US Dollars, then refer to the current black market exchange).",How would you describe your current income sufficiency?,"Including yourself, how many people currently live in your household?",To what extent were you financially (negatively) affected by the deterioration of the Lebanese economy?,How often do you exercise?,"On average, how many hours per day do you spend on social media for entertainment and social interaction (Facebook, Instagram, YouTube, etc...)?",How often do you feel stressed?,Employment Status
283,Private,5,Yes,Agree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Agree moderately,Disagree a little,Agree moderately,Disagree strongly,Neither agree nor disagree,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,20,The number of cigarettes I smoke per day has remained the same,Marlboro,Cedars,No,"Yes, I am currently using a cheaper alternative",Female,28,Mount Lebanon,Graduate degree (MA/MS),Employee; full-time,,Single,,Yes,2,Job,,Mixed,,I prefer not to say,Medium: covers all basic needs,2,Very,Often or at least 3 days every week,Between 3 and 4 hours,Frequently,Employed
285,Private,5,Yes,Disagree a little,Agree a little,Neither agree nor disagree,Disagree strongly,Agree strongly,Agree strongly,Disagree a little,Disagree moderately,Agree strongly,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,The first one in the morning,23,The number of cigarettes I smoke per day has increased,Cohiba,cohiba,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,24,South Lebanon,Incomplete graduate degree,"Other, please specify",Student and business owner,Single,,Yes,1,Own business income,,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Medium: covers all basic needs,2,Slightly,Often or at least 3 days every week,Between 1 hour and 2 hours,Rarely,Unemployed
286,Private,5,Yes,Agree a little,Agree a little,Disagree strongly,Agree strongly,Agree strongly,Agree a little,Agree a little,Agree strongly,Disagree strongly,Disagree strongly,No,11 to 20 cigarettes,Yes,No,Within 5 minutes,The first one in the morning,16,The number of cigarettes I smoke per day has increased,davidoff red,marlbroro blue,Yes,"Yes, I am currently using a cheaper alternative",Male,19,Beirut,High school degree or equivalent (e.g. GED),Student only,,Single,,No,0,Parents,,Mixed,,I prefer not to say,High: completely covers necessities with a few luxury items,5,Slightly,Often or at least 3 days every week,Between 2 and 3 hours,Constantly,Unemployed
289,Private,5,Yes,Agree moderately,Agree moderately,Agree strongly,Disagree moderately,Agree strongly,Disagree a little,Agree strongly,Agree a little,Disagree moderately,Disagree strongly,No,11 to 20 cigarettes,No,No,31 to 60 minutes,All others,16,The number of cigarettes I smoke per day has remained the same,Rolling tobacco golden virginia,Rolling tobacco golden virginia,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,21,Mount Lebanon,Incomplete bachelor's degree,Student only,,Single,,Yes,4,Parents,,Mixed,,Between 4 and 8 million L.L,Medium: covers all basic needs,4,Moderately,Sometimes or a few days every month,Between 3 and 4 hours,Occasionally,Unemployed
290,Private,5,Yes,Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Agree moderately,Agree strongly,Disagree strongly,Agree moderately,Agree a little,Disagree strongly,Disagree moderately,No,11 to 20 cigarettes,No,Yes,Within 5 minutes,All others,14,The number of cigarettes I smoke per day has remained the same,Marlboro,Marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,20,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,3,Parents,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,5,Moderately,Sometimes or a few days every month,More than 4 hours,Frequently,Unemployed
291,Private,5,Yes,Agree moderately,Agree a little,Agree moderately,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Disagree a little,Neither agree nor disagree,Yes,10 or less cigarettes/day,No,No,After 60 minutes,All others,18,The number of cigarettes I smoke per day has increased,Winston,Winston,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,21,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,3,Parents,,Mixed,,I don't know,Medium: covers all basic needs,5,Very,Every day or at least 5 times every week,More than 4 hours,Constantly,Unemployed
293,Private,5,Yes,Agree a little,Disagree a little,Disagree a little,Agree moderately,Disagree moderately,Disagree moderately,Agree moderately,Agree moderately,Disagree moderately,Agree moderately,No,10 or less cigarettes/day,No,No,31 to 60 minutes,All others,15,The number of cigarettes I smoke per day has remained the same,Camel rolling tobacco,Camel rolling tobacco,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,21,Beirut,Incomplete graduate degree,Student only,,Single,,Yes,5,Parents,,"Other, please specify","No income, living off savings",I prefer not to say,Low: barely covers basic needs for a month,3,Very,Never,Between 2 and 3 hours,Frequently,Unemployed
295,Private,5,Yes,Agree strongly,Disagree a little,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree a little,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,20,The number of cigarettes I smoke per day has remained the same,Dunhill,"I dont use any, i smoke casually and take one from my friends",Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,24,Beirut,Incomplete graduate degree,Student with a part-time or full-time job,,Single,,Yes,1,Parents,,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Very low income: does not cover basic needs for a month,4,Very,Sometimes or a few days every month,Between 2 and 3 hours,Frequently,Employed
297,Private,5,Yes,Disagree strongly,Disagree a little,Disagree moderately,Disagree strongly,Disagree moderately,Disagree a little,Disagree moderately,Disagree moderately,Agree a little,Disagree strongly,No,10 or less cigarettes/day,Yes,No,31 to 60 minutes,All others,22,The number of cigarettes I smoke per day has increased,cederz,ceders,No,"Yes, I am currently using a cheaper alternative",Male,21,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Single,,Yes,5,Parents,,Fully in Lebanese Lira,,Between 8 and 12 million L.L,Low: barely covers basic needs for a month,3,Moderately,Sometimes or a few days every month,Between 1 hour and 2 hours,Occasionally,Employed
298,Private,5,Yes,Disagree a little,Agree a little,Disagree moderately,Agree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Disagree moderately,Yes,11 to 20 cigarettes,Yes,Yes,6 to 30 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has increased,marlboro,ceders,No,"Yes, I am currently using a cheaper alternative",Female,22,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Single,,Yes,5,Parents,,Fully in Lebanese Lira,,Between 12 and 16 million L.L,Low: barely covers basic needs for a month,5,Very,Never,Between 2 and 3 hours,Occasionally,Employed
299,Private,5,Yes,Disagree a little,Neither agree nor disagree,Disagree moderately,Agree moderately,Agree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Disagree a little,Disagree strongly,Yes,21 to 30 cigarettes,Yes,Yes,6 to 30 minutes,The first one in the morning,16,The number of cigarettes I smoke per day has increased,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,21,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,4,Parents,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,4,Not at all,Never,Between 2 and 3 hours,Frequently,Unemployed
300,Private,5,Yes,Agree a little,Disagree a little,Agree strongly,Disagree moderately,Agree a little,Agree a little,Agree a little,Disagree strongly,Agree strongly,Agree a little,No,11 to 20 cigarettes,No,No,After 60 minutes,All others,20,The number of cigarettes I smoke per day has remained the same,Marlboro,Marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,22,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Single,,Yes,2,Parents,,Mixed,,More than 20 million L.L,Medium: covers all basic needs,5,Moderately,Often or at least 3 days every week,Between 1 hour and 2 hours,Rarely,Employed
301,Private,5,Yes,Disagree moderately,Agree a little,Disagree moderately,Agree moderately,Agree strongly,Agree moderately,Agree moderately,Agree a little,Disagree a little,Disagree strongly,Yes,21 to 30 cigarettes,Yes,Yes,6 to 30 minutes,The first one in the morning,18,The number of cigarettes I smoke per day has increased,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,21,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,5,Parents,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,5,Not at all,Never,Between 2 and 3 hours,Occasionally,Unemployed
302,Private,5,Yes,Agree a little,Agree a little,Disagree a little,Agree moderately,Agree a little,Disagree moderately,Agree a little,Agree a little,Disagree moderately,Disagree moderately,Yes,21 to 30 cigarettes,Yes,No,6 to 30 minutes,The first one in the morning,18,The number of cigarettes I smoke per day has increased,davidoff,cederz,No,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,22,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Single,,Yes,4,Job,,Fully in Lebanese Lira,,Between 8 and 12 million L.L,Low: barely covers basic needs for a month,5,Very,Never,Between 2 and 3 hours,Frequently,Employed
303,Private,5,Yes,Agree strongly,Disagree a little,Agree strongly,Disagree strongly,Disagree a little,Disagree moderately,Agree moderately,Disagree strongly,Agree strongly,Neither agree nor disagree,No,11 to 20 cigarettes,No,No,31 to 60 minutes,All others,20,The number of cigarettes I smoke per day has remained the same,Marlboro,Marlboro,No,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,23,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Engaged,,Yes,3,Job,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,5,Moderately,Often or at least 3 days every week,Between 1 hour and 2 hours,Rarely,Employed
304,Private,5,Yes,Disagree moderately,Agree a little,Disagree a little,Agree a little,Agree moderately,Agree a little,Agree a little,Agree a little,Disagree a little,Disagree strongly,No,21 to 30 cigarettes,Yes,Yes,6 to 30 minutes,The first one in the morning,18,The number of cigarettes I smoke per day has increased,davidoff,davidoff,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,20,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,4,Parents,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,4,Moderately,Never,Between 2 and 3 hours,Frequently,Unemployed
305,Private,5,Yes,Disagree moderately,Agree moderately,Agree moderately,Agree moderately,Agree strongly,Agree a little,Agree a little,Agree a little,Disagree moderately,Disagree moderately,Yes,31 cigarettes/day or more,Yes,Yes,Within 5 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has increased,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,21,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,5,Parents,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,4,Slightly,Sometimes or a few days every month,Between 2 and 3 hours,Frequently,Unemployed
306,Private,5,Yes,Disagree a little,Agree a little,Disagree a little,Agree a little,Agree moderately,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Disagree moderately,Yes,21 to 30 cigarettes,Yes,No,6 to 30 minutes,The first one in the morning,18,The number of cigarettes I smoke per day has increased,marlboro,ceders,No,"Yes, I am currently using a cheaper alternative",Female,20,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,4,Parents,,Mixed,,Between 16 and 20 million L.L,Low: barely covers basic needs for a month,5,Very,Sometimes or a few days every month,Between 2 and 3 hours,Frequently,Unemployed
307,Private,5,Yes,Agree moderately,Disagree a little,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Neither agree nor disagree,Disagree moderately,Agree moderately,Disagree a little,No,21 to 30 cigarettes,Yes,No,Within 5 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has increased,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,20,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,2,Parents,,Fully in Lebanese Lira,,More than 20 million L.L,Medium: covers all basic needs,6,Slightly,Sometimes or a few days every month,Between 2 and 3 hours,Occasionally,Unemployed
308,Private,5,Yes,Disagree moderately,Disagree moderately,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree a little,Agree moderately,No,11 to 20 cigarettes,Yes,No,31 to 60 minutes,All others,19,The number of cigarettes I smoke per day has increased,marlboro,cederz,No,"Yes, I am currently using a cheaper alternative",Male,21,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Single,,Yes,3,Parents,,Mixed,,Between 16 and 20 million L.L,Medium: covers all basic needs,3,Moderately,Often or at least 3 days every week,Between 2 and 3 hours,Frequently,Employed
309,Private,5,Yes,Disagree a little,Neither agree nor disagree,Agree a little,Agree moderately,Agree moderately,Agree a little,Agree moderately,Disagree a little,Disagree a little,Disagree moderately,Yes,21 to 30 cigarettes,Yes,No,6 to 30 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has remained the same,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,20,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,4,Parents,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,4,Slightly,Never,Between 2 and 3 hours,Occasionally,Unemployed
310,Private,5,Yes,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Agree strongly,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Disagree strongly,Yes,31 cigarettes/day or more,Yes,Yes,Within 5 minutes,The first one in the morning,16,The number of cigarettes I smoke per day has increased,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,21,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,5,Parents,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,4,Slightly,Never,Between 3 and 4 hours,Frequently,Unemployed
311,Private,5,Yes,Disagree strongly,Agree a little,Agree a little,Agree moderately,Agree strongly,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Yes,21 to 30 cigarettes,No,Yes,Within 5 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has increased,davidoff,cederz,No,"Yes, I am currently using a cheaper alternative",Female,20,Beirut,Incomplete bachelor's degree,Student only,,"Other, please specify",in relationship,Yes,5,Parents,,Fully in Lebanese Lira,,Between 16 and 20 million L.L,Low: barely covers basic needs for a month,5,Very,Never,Between 2 and 3 hours,Occasionally,Unemployed
312,Private,5,Yes,Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Agree strongly,Disagree moderately,No,21 to 30 cigarettes,No,No,31 to 60 minutes,All others,19,The number of cigarettes I smoke per day has decreased,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,21,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,2,Parents,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,5,Moderately,Often or at least 3 days every week,Between 1 hour and 2 hours,Occasionally,Unemployed
313,Private,5,Yes,Agree moderately,Agree moderately,Agree a little,Disagree moderately,Agree strongly,Disagree moderately,Agree a little,Agree a little,Agree moderately,Disagree moderately,No,31 cigarettes/day or more,Yes,No,31 to 60 minutes,The first one in the morning,15,The number of cigarettes I smoke per day has increased,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,20,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,2,Parents,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,4,Moderately,Often or at least 3 days every week,Between 2 and 3 hours,Rarely,Unemployed
314,Private,5,Yes,Agree a little,Agree a little,Disagree moderately,Agree moderately,Agree moderately,Neither agree nor disagree,Disagree a little,Agree a little,Disagree moderately,Disagree strongly,Yes,31 cigarettes/day or more,Yes,Yes,Within 5 minutes,All others,17,The number of cigarettes I smoke per day has increased,marlboro gold,marlboro gold,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,20,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,5,Parents,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,4,Not at all,Never,Between 2 and 3 hours,Frequently,Unemployed
315,Private,5,Yes,Agree moderately,Agree a little,Disagree moderately,Agree a little,Agree moderately,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Disagree a little,Yes,21 to 30 cigarettes,No,No,Within 5 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has remained the same,marlboro,ceders,No,"Yes, I am currently using a cheaper alternative",Male,20,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,3,Parents,,Mixed,,Between 16 and 20 million L.L,Medium: covers all basic needs,6,Very,Often or at least 3 days every week,Between 1 hour and 2 hours,Rarely,Unemployed
316,Private,5,Yes,Disagree a little,Agree moderately,Disagree a little,Agree moderately,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Disagree moderately,Yes,31 cigarettes/day or more,Yes,Yes,Within 5 minutes,The first one in the morning,16,The number of cigarettes I smoke per day has increased,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,20,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,5,Parents,,Fully in US Dollars,,More than 20 million L.L,Extremely high: covers a wide range of luxury items,5,Not at all,Never,Between 2 and 3 hours,Occasionally,Unemployed
317,Private,5,Yes,Agree a little,Agree moderately,Agree a little,Agree a little,Agree moderately,Disagree moderately,Agree a little,Neither agree nor disagree,Agree a little,Disagree moderately,Yes,21 to 30 cigarettes,Yes,Yes,31 to 60 minutes,All others,18,The number of cigarettes I smoke per day has remained the same,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,21,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,3,Parents,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,5,Moderately,Often or at least 3 days every week,Between 2 and 3 hours,Occasionally,Unemployed
318,Private,5,Yes,Agree a little,Disagree moderately,Agree moderately,Disagree a little,Agree a little,Agree a little,Agree moderately,Disagree strongly,Agree moderately,Disagree moderately,No,11 to 20 cigarettes,No,No,After 60 minutes,All others,20,The number of cigarettes I smoke per day has remained the same,Marlboro,Marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,22,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Single,,Yes,1,Parents,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,6,Moderately,Often or at least 3 days every week,Between 2 and 3 hours,Occasionally,Employed
319,Private,5,Yes,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Yes,31 cigarettes/day or more,No,Yes,31 to 60 minutes,The first one in the morning,18,The number of cigarettes I smoke per day has remained the same,Marlboro,Marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,21,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,4,Parents,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,6,Moderately,Never,Between 3 and 4 hours,Frequently,Unemployed
320,Private,5,Yes,Disagree a little,Agree a little,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Disagree moderately,Disagree a little,Disagree strongly,No,11 to 20 cigarettes,No,Yes,31 to 60 minutes,The first one in the morning,189,The number of cigarettes I smoke per day has remained the same,Marlboro,Marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,21,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,2,Parents,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,7,Moderately,Sometimes or a few days every month,Between 2 and 3 hours,Frequently,Unemployed
321,Private,5,Yes,Disagree a little,Agree a little,Agree a little,Agree moderately,Agree strongly,Disagree a little,Agree a little,Disagree a little,Disagree a little,Disagree strongly,Yes,21 to 30 cigarettes,Yes,Yes,After 60 minutes,The first one in the morning,20,The number of cigarettes I smoke per day has remained the same,Marlboro,Cedars,No,"Yes, I am currently using a cheaper alternative",Female,21,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,5,Parents,,Fully in Lebanese Lira,,More than 20 million L.L,Low: barely covers basic needs for a month,5,Moderately,Never,Between 2 and 3 hours,Constantly,Unemployed
322,Private,5,Yes,Agree a little,Agree moderately,Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,No,11 to 20 cigarettes,No,No,After 60 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has remained the same,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,21,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,4,Parents,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,5,Moderately,Often or at least 3 days every week,Between 2 and 3 hours,Occasionally,Unemployed
323,Private,5,Yes,Disagree moderately,Disagree moderately,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Yes,21 to 30 cigarettes,No,No,31 to 60 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has increased,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,21,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,3,Parents,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,5,Slightly,Sometimes or a few days every month,Between 2 and 3 hours,Occasionally,Unemployed
324,Private,5,Yes,Disagree a little,Neither agree nor disagree,Disagree moderately,Agree a little,Agree moderately,Disagree a little,Disagree a little,Agree a little,Disagree moderately,Disagree moderately,Yes,21 to 30 cigarettes,Yes,No,31 to 60 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has remained the same,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,21,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,3,Parents,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,6,Moderately,Sometimes or a few days every month,Between 2 and 3 hours,Occasionally,Unemployed
325,Private,5,Yes,Agree a little,Agree moderately,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Disagree a little,Agree a little,Disagree moderately,Yes,31 cigarettes/day or more,Yes,Yes,6 to 30 minutes,The first one in the morning,18,The number of cigarettes I smoke per day has increased,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,21,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,5,Parents,,Fully in US Dollars,,More than 20 million L.L,Extremely high: covers a wide range of luxury items,4,Not at all,Never,Between 3 and 4 hours,Frequently,Unemployed
326,Private,5,Yes,Agree moderately,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Disagree a little,Agree a little,Disagree moderately,Yes,31 cigarettes/day or more,Yes,Yes,6 to 30 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has remained the same,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,21,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Single,,Yes,5,Parents,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,3,Slightly,Never,Between 2 and 3 hours,Constantly,Employed
327,Private,5,Yes,Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,Agree a little,Agree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree a little,No,11 to 20 cigarettes,No,No,After 60 minutes,All others,20,The number of cigarettes I smoke per day has decreased,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,21,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,"Other, please specify",relationship,Yes,1,Job,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,4,Slightly,Often or at least 3 days every week,Between 1 hour and 2 hours,Rarely,Employed
328,Private,5,Yes,Disagree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree a little,Agree a little,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,No,11 to 20 cigarettes,No,No,After 60 minutes,All others,20,The number of cigarettes I smoke per day has remained the same,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,23,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Engaged,,Yes,1,Job,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,1,Moderately,Often or at least 3 days every week,Less than 1 hour,Rarely,Employed
329,Private,5,Yes,Agree a little,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,20,The number of cigarettes I smoke per day has remained the same,marlboro,cedars,No,"Yes, I am currently using a cheaper alternative",Female,23,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Single,,Yes,2,Job,,Mixed,,Between 16 and 20 million L.L,Medium: covers all basic needs,4,Very,Never,Between 2 and 3 hours,Frequently,Employed
330,Private,5,Yes,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Disagree a little,Disagree moderately,Agree moderately,Disagree moderately,Yes,31 cigarettes/day or more,Yes,Yes,6 to 30 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has increased,marlboro,cedars,No,"Yes, I am currently using a cheaper alternative",Male,24,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Single,,Yes,5,Job,,Fully in Lebanese Lira,,Between 12 and 16 million L.L,Medium: covers all basic needs,1,Moderately,Never,Between 2 and 3 hours,Frequently,Employed
331,Private,5,Yes,Agree a little,Agree a little,Agree moderately,Agree strongly,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Disagree moderately,No,21 to 30 cigarettes,Yes,Yes,31 to 60 minutes,The first one in the morning,20,The number of cigarettes I smoke per day has decreased,marlboro,cedars,No,"Yes, I am currently using a cheaper alternative",Male,21,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,5,Parents,,Mixed,,More than 20 million L.L,Medium: covers all basic needs,5,Moderately,Never,Between 2 and 3 hours,Frequently,Unemployed
